actual_values,predicted_values,difference
1450000.0,876200.0,-573800.0
585000.0,692145.0,107145.0
585000.0,490450.0,-94550.0
115000.0,204000.0,89000.0
525000.0,578950.0,53950.0
219000.0,175345.0,-43655.0
365900.0,292956.52956349205,-72943.47043650795
319500.0,227870.2,-91629.79999999999
385000.0,383488.7833333333,-1511.2166666666744
199000.0,434775.0,235775.0
1175000.0,688850.0,-486150.0
895000.0,801450.0,-93550.0
239000.0,233225.0,-5775.0
650000.0,647750.0,-2250.0
220000.0,306400.0,86400.0
337500.0,364102.65,26602.650000000023
199000.0,183930.0,-15070.0
259000.0,145142.5,-113857.5
295000.0,240175.0,-54825.0
265000.0,314075.0,49075.0
449900.0,561175.0,111275.0
350000.0,400000.0,50000.0
329000.0,323827.49000000005,-5172.509999999951
469000.0,536775.0,67775.0
240000.0,207575.0,-32425.0
289000.0,275050.0,-13950.0
449000.0,403525.0,-45475.0
295000.0,135150.0,-159850.0
265000.0,172825.0,-92175.0
545000.0,307800.0,-237200.0
505000.0,497833.3333333333,-7166.666666666686
381269.0,384876.15,3607.1500000000233
200000.0,159400.0,-40600.0
372000.0,322895.8333333333,-49104.166666666686
130000.0,96057.5,-33942.5
170000.0,185200.0,15200.0
139000.0,97900.0,-41100.0
560000.0,476332.5,-83667.5
725000.0,602340.2,-122659.80000000005
325000.0,291047.5,-33952.5
279000.0,380283.3333333333,101283.33333333331
199000.0,184550.0,-14450.0
315000.0,359760.0,44760.0
362000.0,416350.0,54350.0
299000.0,286500.0,-12500.0
325000.0,264749.45,-60250.54999999999
285000.0,289395.0,4395.0
295593.0,443865.95,148272.95
296611.0,322549.35,25938.349999999977
249000.0,250200.0,1200.0
385000.0,257450.0,-127550.0
449000.0,449650.0,650.0
129000.0,269576.6666666666,140576.66666666663
355000.0,371948.05,16948.04999999999
130000.0,160420.0,30420.0
369000.0,370595.0,1595.0
399000.0,830500.0,431500.0
205000.0,210425.0,5425.0
199000.0,212812.5,13812.5
160000.0,185525.0,25525.0
1195000.0,1221450.0,26450.0
255000.0,235975.0,-19025.0
329000.0,291815.0,-37185.0
105000.0,136950.0,31950.0
260000.0,304050.0,44050.0
225000.0,246653.33333333334,21653.333333333343
395000.0,389200.0,-5800.0
249000.0,312136.6666666666,63136.66666666663
358000.0,473520.95,115520.95000000001
220000.0,237319.5,17319.5
155000.0,181537.5,26537.5
195000.0,150600.0,-44400.0
235000.0,249666.6666666667,14666.666666666686
330000.0,351249.95,21249.95000000001
220000.0,228750.0,8750.0
369000.0,316433.3333333334,-52566.66666666663
435000.0,349000.0,-86000.0
311805.0,311805.0,0.0
342500.0,334246.6083333333,-8253.391666666721
599000.0,505407.5,-93592.5
77500.0,116254.95,38754.95
225000.0,370950.0,145950.0
159000.0,133150.0,-25850.0
229000.0,327100.0,98100.0
335000.0,259535.25,-75464.75
535000.0,458802.5,-76197.5
529000.0,375422.65,-153577.34999999998
319000.0,303360.0,-15640.0
430000.0,550805.6,120805.59999999998
345000.0,371395.8333333333,26395.833333333314
230000.0,251705.0,21705.0
250000.0,295350.0,45350.0
213000.0,253695.0,40695.0
735377.0,573527.45,-161849.55000000005
1795000.0,1846125.0,51125.0
632900.0,570886.125,-62013.875
364500.0,376570.0,12070.0
515000.0,425350.0,-89650.0
1190000.0,482900.0,-707100.0
465000.0,457000.0,-8000.0
429000.0,411600.0,-17400.0
839000.0,759400.0,-79600.0
1795000.0,1686500.0,-108500.0
275000.0,252700.0,-22300.0
230000.0,217245.0,-12755.0
315000.0,368775.0,53775.0
255000.0,288616.6666666666,33616.66666666663
935000.0,859890.0,-75110.0
550000.0,451650.0,-98350.0
297500.0,319811.92261904763,22311.922619047633
330000.0,355616.05,25616.04999999999
423000.0,411819.88095238095,-11180.119047619053
218800.0,269550.0,50750.0
375900.0,386730.0,10830.0
185000.0,194460.00000000003,9460.00000000003
359220.0,335400.0,-23820.0
375000.0,307285.0,-67715.0
525000.0,572450.0,47450.0
825000.0,862055.6,37055.59999999998
320000.0,135375.0,-184625.0
215000.0,222562.43441607416,7562.43441607416
270000.0,268270.0,-1730.0
215000.0,218025.0,3025.0
399000.0,360300.0,-38700.0
176000.0,188145.0,12145.0
445000.0,447569.9999999999,2569.9999999998836
385000.0,377264.5172882673,-7735.482711732679
394500.0,453658.3333333333,59158.333333333314
275000.0,327400.0,52400.0
150000.0,177950.0,27950.0
439275.0,435872.4833333334,-3402.5166666666046
140000.0,224849.95,84849.95000000001
260000.0,259100.0,-900.0
240000.0,266925.0,26925.0
449900.0,164849.55,-285050.45
336750.0,326066.0333333333,-10683.966666666674
304803.0,365421.415,60618.41499999998
899000.0,702600.0,-196400.0
2200000.0,1362075.0,-837925.0
249000.0,224950.0,-24050.0
309000.0,280300.0,-28700.0
625000.0,620100.0,-4900.0
188000.0,195250.0,7250.0
2250000.0,2080450.0,-169550.0
215000.0,299215.0,84215.0
299500.0,295083.2,-4416.799999999988
215000.0,171300.0,-43700.0
219000.0,154050.0,-64950.0
599000.0,626050.0,27050.0
445000.0,345550.0,-99450.0
259000.0,243000.0,-16000.0
205000.0,251100.0,46100.0
150000.0,177145.0,27145.0
289000.0,313175.0,24175.0
435000.0,284245.0,-150755.0
140000.0,207375.0,67375.0
279000.0,436019.1,157019.09999999998
845000.0,401100.0,-443900.0
346000.0,363455.25,17455.25
550000.0,866600.0,316600.0
412780.0,362999.1875,-49780.8125
435000.0,414350.0,-20650.0
445000.0,413190.5,-31809.5
249000.0,201250.0,-47750.0
350000.0,340168.0,-9832.0
284000.0,276066.64166666666,-7933.358333333337
376600.0,381887.6857864358,5287.685786435788
243648.0,243911.225,263.2250000000058
749000.0,1082300.0,333300.0
285000.0,291239.0277777778,6239.02777777781
595000.0,815500.0,220500.0
899000.0,619400.0,-279600.0
