actual_values,predicted_values,difference
249000.0,300481.7,51481.6875
300000.0,319090.22,19090.21875
272500.0,276291.72,3791.71875
255000.0,243237.08,-11762.921875
279000.0,287027.0,8027.0
820000.0,975664.25,155664.25
108000.0,211672.52,103672.515625
609060.0,558312.0,-50748.0
135000.0,155307.1,20307.09375
116500.0,145195.56,28695.5625
399000.0,350158.66,-48841.34375
500000.0,506796.6,6796.59375
359500.0,339893.0,-19607.0
373000.0,357575.75,-15424.25
229000.0,176052.53,-52947.46875
299000.0,202709.33,-96290.671875
830000.0,715092.3,-114907.6875
340000.0,340447.97,447.96875
280000.0,293646.88,13646.875
325000.0,318724.8,-6275.1875
334244.0,442198.06,107954.0625
339000.0,368829.88,29829.875
129000.0,116213.61,-12786.390625
449600.0,438522.97,-11077.03125
260000.0,362656.72,102656.71875
620000.0,930660.7,310660.6875
370000.0,380179.84,10179.84375
268000.0,279174.62,11174.625
169000.0,209421.0,40421.0
400000.0,272276.4,-127723.59375
289000.0,321062.97,32062.96875
720000.0,780061.6,60061.625
325750.0,338671.97,12921.96875
750000.0,257708.45,-492291.546875
249000.0,267471.56,18471.5625
645000.0,540020.06,-104979.9375
355000.0,371026.06,16026.0625
484475.0,539025.9,54550.875
307000.0,343327.97,36327.96875
251500.0,187757.56,-63742.4375
799000.0,718134.56,-80865.4375
145000.0,176795.52,31795.515625
293634.0,300557.28,6923.28125
423400.0,414009.6,-9390.40625
150000.0,185696.27,35696.265625
175000.0,177889.38,2889.375
299000.0,380929.2,81929.1875
229000.0,202833.8,-26166.203125
79000.0,100998.91,21998.90625
1795000.0,1372893.6,-422106.375
346000.0,371601.53,25601.53125
215000.0,209775.5,-5224.5
615000.0,529366.44,-85633.5625
1390000.0,1186069.0,-203931.0
420000.0,350472.5,-69527.5
459000.0,395348.22,-63651.78125
259000.0,279978.88,20978.875
349500.0,553346.06,203846.0625
199000.0,191924.55,-7075.453125
299000.0,338446.75,39446.75
1130402.0,1023487.75,-106914.25
239000.0,384060.56,145060.5625
175000.0,190368.58,15368.578125
276230.0,317675.84,41445.84375
210000.0,396894.7,186894.6875
269000.0,259338.73,-9661.265625
625000.0,556383.0,-68617.0
242000.0,248524.66,6524.65625
299000.0,297690.16,-1309.84375
264050.0,236665.19,-27384.8125
745000.0,751061.2,6061.1875
430000.0,596389.7,166389.6875
278839.0,266960.22,-11878.78125
496496.0,432547.78,-63948.21875
159000.0,193531.89,34531.890625
407992.0,364162.88,-43829.125
261399.0,253798.44,-7600.5625
