actual_values,predicted_values,difference
299000.0,95608.00970832072,-203391.99029167928
294000.0,257097.82840566337,-36902.17159433663
230047.0,250310.66087423777,20263.660874237772
140000.0,287308.26784290187,147308.26784290187
499000.0,495226.37513184734,-3773.624868152663
285000.0,334658.24029003084,49658.24029003084
249000.0,207486.43439350137,-41513.565606498625
380459.0,492806.63576655695,112347.63576655695
315000.0,292474.0609243717,-22525.939075628296
420000.0,674271.376643755,254271.376643755
298986.0,131982.28874272667,-167003.71125727333
995000.0,555911.1667214627,-439088.83327853726
501931.0,476029.11826731544,-25901.88173268456
205000.0,149583.22450857982,-55416.77549142018
388565.0,486623.68509453814,98058.68509453814
324000.0,379340.1543325386,55340.1543325386
100000.0,193877.9624069156,93877.96240691561
1350000.0,1523515.374869763,173515.37486976292
249000.0,338644.0940117133,89644.09401171328
338500.0,361793.15375378914,23293.15375378914
282500.0,334734.0661489605,52234.0661489605
85000.0,144231.01766520506,59231.01766520506
479000.0,400965.8831912796,-78034.1168087204
259000.0,133148.68064732384,-125851.31935267616
329000.0,277309.17982432945,-51690.82017567055
317000.0,365963.37952434365,48963.37952434365
945000.0,617562.32444609,-327437.67555390997
185000.0,273354.1745691169,88354.1745691169
310000.0,273083.58541855495,-36916.414581445046
185000.0,167447.92796120886,-17552.072038791142
750000.0,735968.0270274216,-14031.972972578369
195000.0,66686.1684137662,-128313.8315862338
485500.0,499408.8958398828,13908.895839882782
279000.0,452418.89181345515,173418.89181345515
620000.0,603874.2162800874,-16125.783719912637
269000.0,221328.1637674393,-47671.83623256069
280000.0,79969.78553496767,-200030.21446503233
375000.0,456360.3148820647,81360.3148820647
379500.0,446423.51881417306,66923.51881417306
275000.0,288472.3898364352,13472.389836435206
349000.0,410304.20041844295,61304.20041844295
499000.0,457868.43350373954,-41131.566496260464
440000.0,470003.66159592546,30003.661595925456
450000.0,485566.7992475922,35566.79924759222
464000.0,399746.22541017504,-64253.774589824956
225000.0,164543.6966792019,-60456.30332079809
169000.0,143554.29017398553,-25445.70982601447
353183.0,284522.9832087341,-68660.01679126592
324900.0,597154.7666026512,272254.7666026512
277000.0,257979.1864998946,-19020.813500105403
337500.0,393327.3985557114,55827.39855571138
410000.0,444975.179987099,34975.17998709902
325000.0,598030.9618639909,273030.9618639909
289000.0,292890.37726052897,3890.3772605289705
295000.0,210502.9472079142,-84497.0527920858
446654.0,523480.3122428716,76826.31224287162
295000.0,375451.7046277262,80451.70462772623
435000.0,527129.7676836946,92129.7676836946
469000.0,582000.4249188106,113000.4249188106
250500.0,348722.4217575793,98222.42175757932
320290.0,326360.90891044633,6070.908910446335
856333.0,506766.24451119313,-349566.75548880687
315000.0,424272.91301377397,109272.91301377397
397000.0,196744.02454640158,-200255.97545359842
301000.0,292100.16107223183,-8899.83892776817
359000.0,451960.53064360516,92960.53064360516
392000.0,380890.518969554,-11109.481030446012
184500.0,326012.3888795981,141512.38887959812
555660.0,949581.8504425723,393921.85044257226
385000.0,377724.30055883015,-7275.699441169854
795000.0,777695.6613751594,-17304.338624840602
229000.0,235693.35891872598,6693.358918725979
395000.0,694445.8604499432,299445.8604499432
375000.0,319447.3437032099,-55552.65629679011
110000.0,403234.0461596302,293234.0461596302
332965.0,357292.86472907057,24327.86472907057
399000.0,446843.12229044177,47843.12229044177
299000.0,189428.23913510283,-109571.76086489717
856000.0,282617.6306977058,-573382.3693022942
289000.0,435971.47183651244,146971.47183651244
475000.0,736166.9128448735,261166.9128448735
265500.0,597792.4162658486,332292.41626584856
3500000.0,1906714.702298514,-1593285.297701486
247500.0,325649.72858601715,78149.72858601715
249000.0,474049.2436308416,225049.2436308416
425000.0,489377.79181976477,64377.79181976477
190000.0,131908.3226293684,-58091.6773706316
429000.0,687564.1280683917,258564.1280683917
810000.0,452656.7438628855,-357343.2561371145
440000.0,644010.1624567138,204010.16245671385
225000.0,212244.4472640208,-12755.552735979203
350000.0,452084.0895305518,102084.0895305518
269500.0,241334.4210127825,-28165.57898721751
195000.0,131458.12188320933,-63541.87811679067
180000.0,222716.5508365836,42716.5508365836
469000.0,968306.6853396436,499306.6853396436
450000.0,333901.6225862284,-116098.37741377158
345000.0,335803.98157847393,-9196.018421526067
295000.0,409246.74357277714,114246.74357277714
275000.0,280171.7531522168,5171.753152216785
191240.0,859112.0066544279,667872.0066544279
525000.0,755409.5312610655,230409.5312610655
230000.0,243131.19411936263,13131.194119362626
490000.0,615915.7503453097,125915.75034530973
385927.0,387989.09554435685,2062.0955443568528
419000.0,231252.10294746142,-187747.89705253858
595000.0,343825.30237075454,-251174.69762924546
279000.0,296215.5127346595,17215.51273465948
275000.0,232303.48126141867,-42696.51873858133
385000.0,463704.52851687744,78704.52851687744
216201.0,172647.23207446095,-43553.767925539054
285000.0,211559.61047214456,-73440.38952785544
323000.0,340727.64627893874,17727.646278938744
207000.0,220894.51396764768,13894.513967647683
419760.0,341235.79962179065,-78524.20037820935
357000.0,307128.78374336986,-49871.21625663014
225000.0,207316.54627648974,-17683.45372351026
417000.0,424250.60825166525,7250.608251665253
475000.0,321855.84597458644,-153144.15402541356
299000.0,299237.7929933197,237.7929933196865
373000.0,315535.54454675457,-57464.455453245435
540000.0,634290.4637127058,94290.46371270576
199000.0,186236.40673643397,-12763.593263566028
279500.0,273802.98163391044,-5697.018366089556
795000.0,467592.79740183195,-327407.20259816805
595000.0,437615.639524519,-157384.36047548102
557000.0,651177.3339725952,94177.33397259517
449000.0,477122.7985839178,28122.798583917785
378500.0,309705.5363289751,-68794.46367102489
215000.0,337919.61994996853,122919.61994996853
115000.0,61280.921444771346,-53719.078555228654
135000.0,115572.47089584498,-19427.529104155023
348000.0,435543.97644416755,87543.97644416755
475000.0,565032.1890009465,90032.18900094647
2295000.0,1331570.1710526817,-963429.8289473183
174000.0,141800.85775556788,-32199.14224443212
415000.0,364184.24051280925,-50815.75948719075
748000.0,-8510.141278440598,-756510.1412784406
264455.0,224355.8719618055,-40099.128038194496
496514.0,527233.149343329,30719.149343329016
545000.0,469783.48618736,-75216.51381263998
165000.0,290483.2033840497,125483.2033840497
375000.0,412271.33589674765,37271.33589674765
208000.0,337296.355972901,129296.35597290099
434000.0,371999.8104788298,-62000.18952117022
275000.0,238560.14572188817,-36439.85427811183
720000.0,671393.6790851639,-48606.320914836135
600000.0,633065.0499898819,33065.049989881925
425000.0,629398.3283031362,204398.32830313616
272500.0,293754.9186533056,21254.91865330562
225000.0,169316.56943086395,-55683.43056913605
190000.0,157851.23739193007,-32148.762608069927
250000.0,271346.21001529275,21346.210015292745
380000.0,337441.40528180264,-42558.59471819736
125000.0,158650.41554277437,33650.41554277437
345000.0,246649.770142633,-98350.229857367
399000.0,676962.9766316118,277962.9766316118
150000.0,43328.52435406763,-106671.47564593237
