actual_values,predicted_values,difference
249000.0,207486.43439602898,-41513.565603971016
380459.0,492806.63576687826,112347.63576687826
315000.0,292474.06093008537,-22525.93906991463
420000.0,674271.3766469539,254271.37664695387
298986.0,131982.28877158184,-167003.71122841816
995000.0,555911.1667282728,-439088.8332717272
501931.0,476029.1182500608,-25901.881749939173
205000.0,149583.22451122897,-55416.77548877103
388565.0,486623.68508018786,98058.68508018786
324000.0,379340.15433327574,55340.15433327574
100000.0,193877.96240699943,93877.96240699943
1350000.0,1523515.3748694763,173515.3748694763
249000.0,338644.0940154609,89644.09401546093
338500.0,361793.15375210624,23293.153752106242
282500.0,334734.0661435863,52234.0661435863
85000.0,144231.01766684,59231.017666839994
479000.0,400965.88318613824,-78034.11681386176
259000.0,133148.6806415557,-125851.3193584443
329000.0,277309.1798225669,-51690.82017743308
317000.0,365963.37952344166,48963.37952344166
945000.0,617562.3244466963,-327437.6755533037
185000.0,273354.1745663611,88354.17456636112
310000.0,273083.58541762084,-36916.41458237916
185000.0,167447.92795974715,-17552.072040252853
750000.0,735968.0270387584,-14031.972961241612
195000.0,66686.16841255268,-128313.83158744732
485500.0,499408.895844762,13908.89584476198
279000.0,452418.8918147022,173418.8918147022
620000.0,603874.2162793099,-16125.783720690059
269000.0,221328.16377151478,-47671.83622848522
280000.0,79969.78552890662,-200030.21447109338
375000.0,456360.31488224026,81360.31488224026
379500.0,446423.5188132529,66923.51881325291
275000.0,288472.3898344459,13472.389834445901
349000.0,410304.20041901665,61304.20041901665
499000.0,457868.43350271415,-41131.56649728585
440000.0,470003.66160039697,30003.66160039697
450000.0,485566.7992590631,35566.79925906309
464000.0,399746.22541311197,-64253.77458688803
225000.0,164543.69667902729,-60456.303320972715
169000.0,143554.29016932193,-25445.709830678068
353183.0,284522.98320674384,-68660.01679325616
324900.0,597154.7666043662,272254.76660436625
277000.0,257979.1864994797,-19020.813500520308
337500.0,393327.39855219936,55827.39855219936
410000.0,444975.17999150045,34975.17999150045
325000.0,598030.9618659574,273030.96186595736
289000.0,292890.37726732856,3890.3772673285566
295000.0,210502.9472067044,-84497.05279329559
446654.0,523480.3122446148,76826.31224461482
295000.0,375451.7046335363,80451.70463353628
435000.0,527129.7676840932,92129.76768409321
469000.0,582000.4249173203,113000.42491732026
250500.0,348722.4217534624,98222.4217534624
320290.0,326360.90890844865,6070.908908448648
856333.0,506766.24451458897,-349566.75548541103
315000.0,424272.9130129013,109272.91301290132
397000.0,196744.02454550331,-200255.97545449669
301000.0,292100.16107937414,-8899.838920625858
359000.0,451960.5306534008,92960.53065340081
392000.0,380890.5189685542,-11109.481031445786
184500.0,326012.3888839977,141512.3888839977
555660.0,949581.8504440924,393921.8504440924
385000.0,377724.3005509088,-7275.699449091218
795000.0,777695.6613831532,-17304.338616846828
229000.0,235693.35891911807,6693.358919118065
395000.0,694445.8604566415,299445.86045664153
375000.0,319447.3437051438,-55552.65629485622
110000.0,403234.04616181226,293234.04616181226
332965.0,357292.86473114183,24327.86473114183
399000.0,446843.1222940162,47843.12229401618
299000.0,189428.23913681274,-109571.76086318726
856000.0,282617.6306966981,-573382.3693033019
289000.0,435971.4718343839,146971.4718343839
475000.0,736166.9128526358,261166.91285263584
265500.0,597792.4162678772,332292.4162678772
3500000.0,1906714.7023086615,-1593285.2976913385
247500.0,325649.72858262574,78149.72858262574
249000.0,474049.24362998083,225049.24362998083
425000.0,489377.7918205084,64377.79182050843
190000.0,131908.3226326285,-58091.67736737151
429000.0,687564.1280603493,258564.12806034926
810000.0,452656.7438597018,-357343.2561402982
440000.0,644010.1624442891,204010.16244428908
225000.0,212244.44726505456,-12755.552734945435
350000.0,452084.0895455652,102084.08954556519
269500.0,241334.42101473548,-28165.578985264525
195000.0,131458.1218969021,-63541.8781030979
180000.0,222716.55083581898,42716.55083581898
469000.0,968306.6853314398,499306.68533143983
450000.0,333901.6225877758,-116098.37741222419
345000.0,335803.9815831622,-9196.01841683779
295000.0,409246.7435685266,114246.74356852658
275000.0,280171.7531464342,5171.753146434203
191240.0,859112.006654321,667872.006654321
525000.0,755409.5312637021,230409.53126370208
230000.0,243131.19411761314,13131.194117613137
490000.0,615915.7503529508,125915.75035295077
385927.0,387989.0955411545,2062.0955411545
419000.0,231252.10294826003,-187747.89705173997
595000.0,343825.3023716924,-251174.69762830762
279000.0,296215.51274144603,17215.51274144603
275000.0,232303.48126353184,-42696.51873646816
385000.0,463704.52851843205,78704.52851843205
216201.0,172647.23207154032,-43553.76792845968
285000.0,211559.61047426146,-73440.38952573854
323000.0,340727.6462786449,17727.646278644912
207000.0,220894.51396702696,13894.513967026956
419760.0,341235.799623406,-78524.20037659397
357000.0,307128.78374695405,-49871.216253045946
225000.0,207316.5462778136,-17683.453722186387
417000.0,424250.6082502883,7250.608250288293
475000.0,321855.84597744234,-153144.15402255766
299000.0,299237.79299729085,237.79299729084596
373000.0,315535.5445429352,-57464.45545706479
540000.0,634290.4637089302,94290.46370893018
199000.0,186236.40672469046,-12763.59327530954
279500.0,273802.98163329996,-5697.018366700038
795000.0,467592.7974096965,-327407.2025903035
595000.0,437615.63952455856,-157384.36047544144
557000.0,651177.3339765088,94177.33397650882
449000.0,477122.79858569964,28122.79858569964
378500.0,309705.536345256,-68794.46365474397
215000.0,337919.619962323,122919.61996232299
115000.0,61280.92144672759,-53719.07855327241
